vid,url,final_verdict,final_evidence,rationale
V0022,www.yd516.com,phishing,urlscan,Corrected urlscan scan of the domain itself shows a fake Shopee login (credential form); the older Wayback web-services page does not outweigh a direct capture of the harvesting page.
V0030,www.lz002.com,phishing,urlscan,urlscan shows a fake Lazada login on the domain itself; the 2005 Wayback football-news page predates the listing era by many years.
V0039,cpmstar.com,legitimate,archive,CPMStar is a long-running gaming ad network: Wayback shows its own site since 2005 and the corrected urlscan scan shows its own ad server. B's original urlscan evidence was a wrong-page scan (see codebook amendment).
V0046,motcuadientu.backan.gov.vn,legitimate,archive,"Provincial e-government one-stop portal; the archived login page is the province's own service on .gov.vn, whose registration attests the operator — not an impersonation."
V0112,www.etyuss.cn,scam,archive,"Wayback 2023 shows a commercial-surrogacy solicitation site — abusive content, no brand impersonated."
V0126,uscloudminer.com,legitimate,archive,Wayback 2022 shows the domain operating as its own branded cloud-mining service; judged a real operator rather than an impersonation.
V0136,mail.az,legitimate,archive,mail.az is the Azerbaijani mail portal; a login form on the operator's own national domain is not impersonation.
V0161,senooee.com,legitimate,archive,"Wayback shows the store operating under its own name; no brand 'Senoe' exists to impersonate (name check), so the impersonation reading fails and the shop shows real-operator markers."
V0013,www.vongquaysieuphamfreefirevn.club,phishing,name,Domain imitates a Free Fire event page ('vongquaysieupham…freefirevn' — prize-wheel lure); the brand token admits no innocent reading.
V0015,shxycx.com,unsure,none,Conflicting weak captures (a pirated-software page vs parked); neither decisive — unresolved.
V0018,sd1675.xyz,scam,urlscan,urlscan 2022 shows a fraudulent top-up/deposit flow run by the site itself; no brand impersonated.
V0021,cloudflare-gateway.com,unsure,none,urlscan shows only a blocked-IP notice; the 'cloudflare-gateway' name is suggestive but not conclusive — unresolved.
V0025,www.vietnamxcm.vip,phishing,urlscan,Wayback empty; urlscan shows a fake login interface — credential harvesting.
V0029,shophaoquang.com,scam,archive,Wayback 2023 shows a game top-up/virtual-item shop running a deposit scam; nobody impersonated.
V0031,http://exoduuss.online/en/seguranca_validacao.php,phishing,urlscan,Impersonates the real Exodus wallet (typosquat 'exoduuss' + Portuguese 'security validation' page harvesting wallet credentials).
V0053,hosting.net.np,legitimate,archive,Wayback shows a hosting-reseller storefront operating as itself; judged a real operator.
V0056,now.vn,legitimate,urlscan,now.vn is the former domain of the NOW food-delivery service (later ShopeeFood) — a real Vietnamese operator; the listing is a feed error.
V0068,asp7890.com,phishing,urlscan,urlscan shows a fake login page — credential harvesting.
V0077,alicdn.com,legitimate,name,alicdn.com is Alibaba's official CDN domain — infrastructure of a real operator; the listing is a feed error.
V0081,shopthureview.com,scam,urlscan,urlscan 2022 shows a game-account marketplace running purchase fraud; no brand impersonated.
V0093,www.king07.xyz,unsure,none,No source confirms an operator; the name is inconclusive — unresolved.
V0095,www.xfnyzz.com,unsure,none,Random-string domain with no usable capture — unresolved.
V0096,smrt.biddv.com,phishing,name,Hostname embeds a BIDV-lookalike token ('biddv') in a bank-imitating position; no innocent reading.
V0102,vitemac.com,phishing,urlscan,Credential phishing — fake login page impersonating a financial service (urlscan).
