vid,url,machine_verdict,signal,snapshot
V0000,chovaytieudung.online,unsure,no-content,https://web.archive.org/web/20230225031223/http://chovaytieudung.online
V0001,k24live.xyz,unsure,no-signal,https://web.archive.org/web/20220111225430/http://k24live.xyz
V0002,www.crown88v.com,phishing,credential-input,https://web.archive.org/web/20211129175621/http://www.crown88v.com
V0003,bidv.xyz,unsure,no-signal,https://web.archive.org/web/20230316071146/http://bidv.xyz
V0004,www.56hotlive.vip,unsure,no-signal,https://web.archive.org/web/20211124022345/http://www.56hotlive.vip
V0005,854107.vip,unsure,no-signal,https://web.archive.org/web/20230329095212/http://854107.vip
V0006,thanhhoa.nhuxuan.thanhhoa.gov.vn,legitimate,registry,https://web.archive.org/web/20190512232114/http://thanhhoa.nhuxuan.thanhhoa.gov.vn
V0007,993.vn,unsure,no-content,
V0008,kairyudo.co.jp,unsure,no-signal,https://web.archive.org/web/19991010040500/http://kairyudo.co.jp
V0009,shopeevn6.com,unsure,no-content,
V0010,www.vn-onlines.xyz,unsure,no-content,
V0011,phukiensongtoan.com,legitimate,registry,https://web.archive.org/web/20180806023748/http://phukiensongtoan.com
V0012,grass.io,unsure,no-signal,https://web.archive.org/web/20141026102822/http://grass.io
V0013,www.vongquaysieuphamfreefirevn.club,unsure,no-signal,https://web.archive.org/web/20211229195634/http://www.vongquaysieuphamfreefirevn.club
V0014,www.vnthanhnien.com,unsure,no-signal,https://web.archive.org/web/20070813153207/http://www.vnthanhnien.com
V0015,shxycx.com,unsure,no-signal,https://web.archive.org/web/20221019150412/http://shxycx.com
V0016,www.playtogether.com.vn,unsure,no-content,
V0017,gpay-mpos-ruttientindung.com,unsure,no-content,
V0018,sd1675.xyz,unsure,no-content,
V0019,789bet.tel,phishing,credential-text,https://web.archive.org/web/20230312171209/http://789bet.tel
V0020,vidian.vn,unsure,no-signal,https://web.archive.org/web/20240321063752/http://vidian.vn
V0021,cloudflare-gateway.com,unsure,no-content,
V0022,www.yd516.com,phishing,credential-input,https://web.archive.org/web/20040711032252/http://www.yd516.com
V0023,www.choi789vn.online,unsure,no-signal,https://web.archive.org/web/20240721024159/http://www.choi789vn.online
V0024,www.sd9301.xyz,unsure,no-content,
V0025,www.vietnamxcm.vip,unsure,no-content,https://web.archive.org/web/20230224174745/http://www.vietnamxcm.vip
V0026,vitalfootball.co.uk,unsure,no-signal,https://web.archive.org/web/20051201072256/http://vitalfootball.co.uk
V0027,blogtamsu.vn,unsure,no-signal,https://web.archive.org/web/20140708015046/http://blogtamsu.vn
V0028,kubetvn.mobi,phishing,credential-text,https://web.archive.org/web/20211211205113/http://kubetvn.mobi
V0029,shophaoquang.com,phishing,credential-input,https://web.archive.org/web/20230407015750/http://shophaoquang.com
V0030,www.lz002.com,unsure,no-signal,https://web.archive.org/web/20050209090100/http://www.lz002.com
V0031,http://exoduuss.online/en/seguranca_validacao.php,unsure,no-signal,https://web.archive.org/web/20260714122703/http://http://exoduuss.online/en/seguranca_validacao.php
V0032,khkempf.de,phishing,credential-text,https://web.archive.org/web/20230330094321/http://khkempf.de
V0033,hi-go.org,unsure,no-content,
V0034,arroyowhipsnake.com,unsure,no-content,
V0035,ku89.bet,scam,gambling-text,https://web.archive.org/web/20210803000547/http://ku89.bet
V0036,www.asj-muenster.de,unsure,no-signal,https://web.archive.org/web/20060430080640/http://www.asj-muenster.de
V0037,trianqua4052.com,unsure,no-content,
V0038,stvjogs.com,unsure,no-content,
V0039,cpmstar.com,unsure,no-signal,https://web.archive.org/web/20050203011530/http://cpmstar.com
V0040,iagrai.gialai.gov.vn,legitimate,registry,https://web.archive.org/web/20120911112235/http://iagrai.gialai.gov.vn
V0041,trx.la,unsure,no-signal,https://web.archive.org/web/20211214143022/http://trx.la
