feature,shap_random,shap_temporal,rank_random,rank_temporal,rank_delta
tld_len,1.07747,1.08632,1,1,0
dot_cnt,0.74221,0.60395,2,2,0
digit_ratio,0.43801,0.42922,3,3,0
digit_cnt,0.36464,0.37006,4,4,0
spec_ratio,0.27365,0.28253,5,5,0
special_cnt,0.19,0.21346,7,6,1
letter_ratio,0.19374,0.17396,6,7,-1
entropy,0.15076,0.15631,8,8,0
url_len,0.11642,0.12601,10,9,1
dom_len,0.11196,0.10924,12,10,2
subdom_cnt,0.11203,0.10352,11,11,0
letter_cnt,0.09382,0.10334,13,12,1
dash_cnt,0.13709,0.09337,9,13,-4
slash_cnt,0.00113,0.00081,14,14,0
path_len,0.00045,0.00047,15,15,0
under_cnt,0.0,0.0,16,16,0
amp_cnt,0.0,0.0,19,19,0
qm_cnt,0.0,0.0,19,19,0
eq_cnt,0.0,0.0,19,19,0
is_ip,0.0,0.0,19,19,0
query_len,0.0,0.0,19,19,0
