feature,shap,family,protocol,seed
url_len,0.11234844238684372,CatBoost,random_same_rows,0
dom_len,0.11347602455255047,CatBoost,random_same_rows,0
is_ip,0.0,CatBoost,random_same_rows,0
tld_len,0.9712552080472827,CatBoost,random_same_rows,0
subdom_cnt,0.08833570244270116,CatBoost,random_same_rows,0
letter_cnt,0.09264524251148665,CatBoost,random_same_rows,0
digit_cnt,0.4455992298091955,CatBoost,random_same_rows,0
special_cnt,0.23486399406778813,CatBoost,random_same_rows,0
eq_cnt,0.0,CatBoost,random_same_rows,0
qm_cnt,0.0,CatBoost,random_same_rows,0
amp_cnt,0.0,CatBoost,random_same_rows,0
dot_cnt,0.7952407775974475,CatBoost,random_same_rows,0
dash_cnt,0.13561703127517669,CatBoost,random_same_rows,0
under_cnt,0.0,CatBoost,random_same_rows,0
letter_ratio,0.1826385805144683,CatBoost,random_same_rows,0
digit_ratio,0.3764971191140812,CatBoost,random_same_rows,0
spec_ratio,0.32770467107463847,CatBoost,random_same_rows,0
slash_cnt,0.0009705815608056183,CatBoost,random_same_rows,0
entropy,0.16345132037725077,CatBoost,random_same_rows,0
path_len,0.000298151878631974,CatBoost,random_same_rows,0
query_len,0.0,CatBoost,random_same_rows,0
url_len,0.10230885907713477,CatBoost,random_same_rows,1
dom_len,0.11090778724121583,CatBoost,random_same_rows,1
is_ip,0.0,CatBoost,random_same_rows,1
tld_len,1.0600221601619984,CatBoost,random_same_rows,1
subdom_cnt,0.10065165905672896,CatBoost,random_same_rows,1
letter_cnt,0.10799109985535536,CatBoost,random_same_rows,1
digit_cnt,0.23406727265177715,CatBoost,random_same_rows,1
special_cnt,0.20812463991578908,CatBoost,random_same_rows,1
eq_cnt,0.0,CatBoost,random_same_rows,1
qm_cnt,0.0,CatBoost,random_same_rows,1
amp_cnt,0.0,CatBoost,random_same_rows,1
dot_cnt,0.7502100755926282,CatBoost,random_same_rows,1
dash_cnt,0.11878385038811692,CatBoost,random_same_rows,1
under_cnt,0.0,CatBoost,random_same_rows,1
letter_ratio,0.21062534467970942,CatBoost,random_same_rows,1
digit_ratio,0.5426169722046352,CatBoost,random_same_rows,1
spec_ratio,0.26730197116033183,CatBoost,random_same_rows,1
slash_cnt,0.0018951208873442264,CatBoost,random_same_rows,1
entropy,0.15396985414621397,CatBoost,random_same_rows,1
path_len,0.0012588455241301893,CatBoost,random_same_rows,1
