tld,n,n_phish,phish_rate,mean_shap_tld_len,fnr_phish@0.5
.com,4017,3161,0.7869,0.8103,0.0152
.vn(+2LD),3115,156,0.0501,-2.04308,0.9038
.net,288,151,0.5243,0.78685,0.0331
.top,277,268,0.9675,0.8864,0.0299
.de,243,202,0.8313,-0.36153,0.6683
.online,228,222,0.9737,-0.40618,0.0225
.xyz,221,207,0.9367,0.80984,0.0193
.vip,196,194,0.9898,0.84156,0.0464
.org,115,51,0.4435,0.7741,0.0392
.site,87,80,0.9195,1.44715,0.0
.cfd,82,82,1.0,0.73972,0.0
.cc,73,66,0.9041,-0.54019,0.5758
.fun,69,69,1.0,0.74388,0.0145
.ru,66,0,0.0,-0.57529,
.me,63,48,0.7619,-0.67584,0.5208
.shop,61,56,0.918,1.65193,0.0
.click,53,53,1.0,0.34042,0.0
.store,51,50,0.9804,0.2767,0.02
.pro,50,45,0.9,0.77604,0.0222
.info,50,44,0.88,1.55755,0.0
.co,49,32,0.6531,-0.63431,0.625
.club,48,47,0.9792,1.54719,0.0
.cn,45,26,0.5778,-0.66861,0.5769
.live,43,38,0.8837,1.45934,0.0
.io,42,9,0.2143,-0.56688,0.4444
.us,42,36,0.8571,-0.58826,0.3056
.win,39,38,0.9744,0.75624,0.0
.id,35,31,0.8857,-0.67713,1.0
.co.uk,34,1,0.0294,-0.41842,1.0
.com.br,30,0,0.0,-1.86571,
.website,29,27,0.931,-0.64476,0.2222
.icu,25,22,0.88,0.77498,0.0455
.fr,23,1,0.0435,-0.71124,1.0
.jp,23,0,0.0,-0.60232,
.in,23,10,0.4348,-0.63534,0.4
.asia,20,16,0.8,1.51524,0.0
.life,20,17,0.85,1.48994,0.0
.tokyo,19,19,1.0,-0.01461,0.0
.space,18,17,0.9444,0.25121,0.0
.it,17,0,0.0,-0.73552,
.one,16,14,0.875,0.76485,0.0
.app,16,10,0.625,0.71688,0.0
.trade,15,15,1.0,0.11739,0.0
.edu,14,0,0.0,0.74439,
.cyou,13,13,1.0,1.33713,0.0
.lol,13,13,1.0,0.75301,0.0769
.pl,13,0,0.0,-0.66403,
.cloud,13,8,0.6154,0.40371,0.0
.biz,13,6,0.4615,0.76482,0.0
.gov,11,0,0.0,0.69323,
.vin,11,11,1.0,0.76522,0.1818
.at,10,9,0.9,-0.5076,1.0
.nl,10,0,0.0,-0.62639,
.bond,10,10,1.0,1.39248,0.0
.ca,10,0,0.0,-0.75145,
.tv,9,4,0.4444,-0.55376,0.5
.world,9,8,0.8889,0.49876,0.0
.cz,9,0,0.0,-0.5719,
.buzz,9,9,1.0,1.57588,0.0
.tech,8,6,0.75,1.49925,0.0
.ltd,8,8,1.0,0.75398,0.0
.mobi,7,4,0.5714,1.41208,0.25
.art,7,7,1.0,0.83278,0.0
.tk,7,7,1.0,-0.8823,0.5714
.ir,6,0,0.0,-0.78151,
.co.jp,6,0,0.0,-0.657,
.pt,6,0,0.0,-0.55336,
.kz,6,0,0.0,-0.44421,
.es,6,0,0.0,-0.61441,
.agency,6,6,1.0,-0.31571,0.0
.ro,6,0,0.0,-0.45292,
.rest,5,3,0.6,1.42162,0.0
.ai,5,0,0.0,-0.58261,
.love,5,5,1.0,1.47388,0.0
.pw,5,5,1.0,-0.67133,0.6
.com.ar,5,0,0.0,-1.83776,
.bio,5,5,1.0,0.7267,0.4
.cam,5,4,0.8,0.77941,0.0
.cl,5,0,0.0,-0.57506,
.ink,5,5,1.0,0.71524,0.4
.com.au,5,1,0.2,-1.81143,1.0
.no,4,0,0.0,-0.50999,
.sbs,4,4,1.0,0.72773,0.5
.eu,4,0,0.0,-0.75825,
.work,4,3,0.75,1.59808,0.0
.dev,4,2,0.5,0.77959,0.5
.bar,4,4,1.0,0.90666,0.0
.gr,3,0,0.0,-0.781,
.fi,3,0,0.0,-0.50528,
.ren,3,3,1.0,0.70513,0.6667
.by,3,0,0.0,-0.64168,
.ch,3,0,0.0,-0.11793,
.ie,3,0,0.0,-0.43779,
.host,3,2,0.6667,1.50721,0.0
.gg,3,2,0.6667,-0.69301,1.0
.link,3,1,0.3333,1.71471,0.0
.co.il,3,0,0.0,-0.38922,
.ac.id,3,0,0.0,-0.40938,
.com.cn,3,0,0.0,-2.24516,
.co.za,3,0,0.0,-0.69208,
.tw,3,0,0.0,-0.25911,
.co.in,3,1,0.3333,-0.34375,1.0
.co.kr,3,0,0.0,-0.37322,
.blog,3,0,0.0,1.56261,
.gov.in,3,0,0.0,-2.04547,
.md,3,0,0.0,-0.59134,
.ac.uk,3,0,0.0,-0.76164,
.be,3,0,0.0,-0.5541,
.to,3,0,0.0,-0.56644,
.com.ua,3,0,0.0,-1.90967,
.bet,3,2,0.6667,0.74404,0.0
.ae,3,1,0.3333,-0.43821,1.0
.mom,3,3,1.0,0.76109,0.3333
.ms,3,0,0.0,-0.58073,
