vid,url,verdict,evidence
V0000,chovaytieudung.online,unsure,none
V0001,k24live.xyz,scam,archive
V0002,www.crown88v.com,scam,archive
V0003,bidv.xyz,phishing,name
V0004,www.56hotlive.vip,scam,archive
V0005,854107.vip,phishing,urlscan
V0006,thanhhoa.nhuxuan.thanhhoa.gov.vn,legitimate,archive
V0007,993.vn,unsure,none
V0008,kairyudo.co.jp,legitimate,archive
V0009,shopeevn6.com,phishing,urlscan
V0010,www.vn-onlines.xyz,unsure,none
V0011,phukiensongtoan.com,legitimate,archive
V0012,grass.io,legitimate,archive
V0013,www.vongquaysieuphamfreefirevn.club,unsure,none
V0014,www.vnthanhnien.com,scam,urlscan
V0015,shxycx.com,unsure,none
V0016,www.playtogether.com.vn,scam,urlscan
V0017,gpay-mpos-ruttientindung.com,unsure,none
V0018,sd1675.xyz,scam,urlscan
V0019,789bet.tel,scam,archive
V0020,vidian.vn,scam,archive
V0021,cloudflare-gateway.com,phishing,name
V0022,www.yd516.com,phishing,urlscan
V0023,www.choi789vn.online,unsure,none
V0024,www.sd9301.xyz,scam,urlscan
V0025,www.vietnamxcm.vip,phishing,urlscan
V0026,vitalfootball.co.uk,legitimate,archive
V0027,blogtamsu.vn,legitimate,archive
V0028,kubetvn.mobi,scam,archive
V0029,shophaoquang.com,scam,archive
V0030,www.lz002.com,phishing,urlscan
V0031,http://exoduuss.online/en/seguranca_validacao.php,scam,urlscan
V0032,khkempf.de,scam,archive
V0033,hi-go.org,phishing,urlscan
V0034,arroyowhipsnake.com,phishing,urlscan
V0035,ku89.bet,scam,archive
V0036,www.asj-muenster.de,legitimate,archive
V0037,trianqua4052.com,unsure,none
V0038,stvjogs.com,unsure,none
V0039,cpmstar.com,scam,urlscan
V0040,iagrai.gialai.gov.vn,legitimate,archive
V0041,trx.la,scam,urlscan
V0042,www.garenamembervipfreefire2021.com,scam,urlscan
V0043,napquare.com,unsure,none
V0044,www.eg0084.com,unsure,none
V0045,chanle96.net,scam,archive
V0046,motcuadientu.backan.gov.vn,phishing,archive
V0047,www.amazon.amrsd.com,phishing,urlscan
V0048,sotttt.caobang.gov.vn,legitimate,archive
V0049,hkpshopee.com,phishing,name
V0050,v7bom.com,unsure,none
V0051,congluan.vn,legitimate,archive
V0052,0fzj64.cn,scam,urlscan
V0053,hosting.net.np,legitimate,archive
V0054,haugiang.baohiemxahoi.gov.vn,legitimate,capture
V0055,chithao.quanghoa.caobang.gov.vn,legitimate,archive
V0056,now.vn,scam,archive
V0057,vnembassy-copenhagen.mofa.gov.vn,legitimate,archive
V0058,denisland.com,legitimate,archive
