h,basis,ncsc_date,cld_date,delta_days,check
vietnamairlinesgiare.vn,objectid,2024-10-15,2021-05-07,1257,ncsc_overlap
bachhoaxanhh.com,objectid,2024-06-11,2023-03-23,446,ncsc_overlap
timx2918.com,objectid,2023-07-19,2023-03-23,118,ncsc_overlap
mkg176969.com,objectid,2023-07-10,2023-03-23,109,ncsc_overlap
gplxgovn.vn,objectid,2023-06-12,2022-06-13,364,ncsc_overlap
minhchinhmax4d.com,objectid,2023-05-24,2023-03-23,62,ncsc_overlap
ibkbankk.com,objectid,2023-05-15,2023-03-23,53,ncsc_overlap
ku11.net,objectid,2023-05-15,2022-07-22,297,ncsc_overlap
phatdat.city,objectid,2023-05-08,2023-04-01,37,ncsc_overlap
nasdaq-index.com,objectid,2023-04-24,2023-02-20,63,ncsc_overlap
hoanmya.com,objectid,2023-04-17,2023-02-20,56,ncsc_overlap
appodeal-vn.com,objectid,2023-03-29,2023-03-23,6,ncsc_overlap
trungtamthuongmaihanoi.com,objectid,2023-03-29,2022-12-17,102,ncsc_overlap
skyeye.com.vn,objectid,2023-02-13,2023-02-16,-3,ncsc_overlap
mxp00338.com,objectid,2023-02-07,2023-02-10,-3,ncsc_overlap
tiki111.com,objectid,2023-02-07,2021-09-11,514,ncsc_overlap
minhchinhkienthiet.com,objectid,2023-02-07,2022-12-30,39,ncsc_overlap
ae888vip.com,objectid,2023-02-07,2022-03-10,334,ncsc_overlap
76996.co,objectid,2023-02-01,2023-02-01,0,ncsc_overlap
song-hung.com,objectid,2023-01-31,2022-11-29,63,ncsc_overlap
hdbankfinance.shop,objectid,2023-01-31,2023-01-28,3,ncsc_overlap
exness.com,objectid,2022-12-27,2021-05-07,599,ncsc_overlap
tk668.com,objectid,2022-12-21,2022-11-29,22,ncsc_overlap
vps8449vn.com,objectid,2022-12-05,2022-12-01,4,ncsc_overlap
trummomo.me,objectid,2022-11-29,2022-12-05,-6,ncsc_overlap
vietacomputer.com,objectid,2022-11-21,2022-11-26,-5,ncsc_overlap
vebo8386.me,objectid,2022-11-14,2022-11-07,7,ncsc_overlap
